Científicas;Año nacimiento;Fecha;Bio;Especialidad;Cartel;Año;Otros carteles;Instagram;Pais;Wikipedia 
Adelina Álvarez Bartolomé (26 de marzo de 1935- fallecida);1935;26-mar;Un 26 de marzo nació en Palencia una de las 3 primeras ingenieras de Telecomunicación en España Adelina Álvarez Bartolomé (1935- fallecida).Es reconocida por ser la primera mujer en matricularse en la Escuela de Ingeniería y Telecomunicaciones de la Universidad Politécnica de Madrid en 1952.En 1965 fueron 3 las mujeres que, junto a Adelina Álvarez Bartolomé, se licenciaron en una promoción de 134 hombres pasando a formar parte de la trigésimo octava promoción de esta facultad.Desgraciadamente tras conocer en la academia al que era su profesor, decidieron casarse al acabar los estudios y nunca llegó a ejercer de  ingeniera.Se mudó a Ávila donde fue profesora de matemáticas en un instituto de enseñanza secundaria. En 2017 con motivo de la celebración del Día de la mujer trabajadora, ESET, la mayor empresa de seguridad informática con sede en la Unión Europea, homenajeó a las mujeres que dieron los primeros pasos en el desarrollo de la ciencia y la tecnología en España.Nota: Agradecería cualquier información que alguien me pudiera aportar sobre su vida para completar esta entradaCartel hecho por @pilar_terron#AdelinaÁlvarezBartolomé#IngenieraDeTelecomunicación#Ingeniería#MujeresPioneras#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy;Ingeniera de Telecomunicación;si;2023;-;-;España;-
Alessandra Giliani (1307 - 26 de marzo de 1326);1307;26-mar;Alessandra Giliani (1307 - 26 de marzo de 1326) fue la primera mujer en ser registrada en documentos históricos como practicante de la anatomía (lo que hoy se llamaría patología). Se cree que Giliani pudo haber nacido en 1307, en San Giovanni in Persiceto, en la provincia italiana de Emilia-Romaña. La crónica de su vida afirma que murió en 1326, posiblemente por una herida séptica, a la edad de 19 años.1​ Recordada como la primera anatomista femenina del mundo occidental, tuvo fama de haber sido brillante prosector (preparador de cadáveres para la disección anatómica). Trabajó como asistente quirúrgica para Mondino de Luzzi (m. 1326), profesor de renombre en la escuela de medicina de la Universidad de Bolonia y acreditado por ser el padre de la anatomía moderna gracias a un texto seminal fechado en 1316.2​De Giliani se dice que llevó a cabo sus propias investigaciones anatómicas, como el desarrollo de un método para drenar la sangre de un cadáver y su sustitución por un endurecimiento de tinte y color, ayudando a la compresión del sistema circulatorio coronario pulmonar. Toda la evidencia de su trabajo fue o bien perdido o destruido.La corta vida de Alessandra Giliani fue honrada por Otto Angenius, también uno de los ayudantes de Mondino y, probablemente, su prometido, con una placa en el San Pietro e Marcellino degli Spedolari di Santa Maria di Mareto, o d'Ulmareto,3​ que describe su trabajo . Es mencionada por el historiador del siglo xix Michele Medici, que publicó una historia sobre la escuela boloñesa de anatomía en 1857.La novela de Barbara Quick,A Golden Web publicada por HarperTeen en 2010, es una ficción que reimagina la vida en los tiempos de Alessandra Giliani.;Patóloga;no;-;-;-;Italia;si
Anna Johnson Pell Wheeler (5 de mayo de 1883-26 de marzo de 1966);1883;26-mar;La matemática Anna Johnson Pell Wheeler (1883-1966) nació un 5 de mayo.Trabajó en ecuaciones integrales y fue pionera en la investigación en álgebra lineal en dimensión infinita.Fue la primera mujer en impartir un Colloquium Lecture en el encuentro de la American Mathematical Society (1927).;Matemática;no;-;-;-;-;-
Elizabeth Philpot (1780 – 1857);1780;26-mar;Un 20 de diciembre descubrí a la paleontóloga amateur y artista Elizabeth Philpot (Londres 1780 – Lyme Regis 1857). Es una de esas mujeres del mundo de la ciencia cuya historia no habríamos conocido si no hubiera sido por su amistad y colaboración con la coleccionista de fósiles Mary Anning. Las hermanas Philpot dedicaban buena parte de su tiempo a buscar fósiles en los acantilados Lyme Regis en Dorset, en las costas del sur de Inglaterra, y se hicieron muy amigas de Mary Anning a pesar de que ésta era 20 años más joven. Tenía una extensa colección de fósiles, en particular de peces, que exponía a menudo en su casa para que pudiera ser contemplada por los visitantes del lugar. Elizabeth era buscada por los paleontólogos y geólogos más prominentes de su tiempo. Un día de los muchos que Mary y ella salían a buscar restos del pasado, Mary descubrió en un belemnite una cámara con tinta seca que Elizabeth consiguió recuperar. Al mezclarla con agua, la tinta se pudo utilizar para algunos de sus dibujos. La técnica de recuperación de la tinta seca sería imitada por otros buscadores del lugar. Se especializó en la búsqueda de restos de fósiles de peces y mantuvo contacto constante con algunos de los paleontólogos y geólogos destacados de su tiempo, como William Buckland o Henry de la Beche. Sin embargo, en un tiempo en el que las mujeres tenían prohibido el acceso a la Sociedad Geológica, el trabajo de Elizabeth Philpot, como el de Mary Anning, nunca fue del todo reconocido. El legado de Elizabeth Philpot descansa hoy en día en el Museo de la Universidad de Oxford y en el Museo Philpot (conocido actualmente como el Museo Lyme Regis), construido en honor de las hermanas por su sobrino Thomas Philpot. El 26 de marzo del 2010 salió a la venta en España la novela histórica de Tracy Chevalier acerca de Elizabeth Philpot y Mary Anning titulada Las huellas de la vida. El 13 de noviembre de 2020 se estrenó la película Amonnite sobre él. Una especie de pez fósil fue bautizado en su honor por el paleontólogo suizo Louis Agassiz como Eugnatus philpotae. Cartel hecho por @pilar_terron #ElizabethPhilpot #Paleontóloga #fósiles #Geología #womeninstem #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Paleontóloga;si;Mi descubrimiento en 2021;Cartel el 20 diciembre;-;Inglaterra;-
Elsa Brändström (26 Marzo 1888 – 4 Marzo 1948);1888;26-mar;"Un 26 de marzo nació la enfermera y filántropa conocida como el ángel de Siberia, ELSA BRÄNDSTRÖM (1888-1948).Hija del agregado militar de la Embajada de Suecia, nació en San Petersburgo, Rusia, volviendo a Suecia con 3 años. Allí pasó su infancia y estudió para profesora en Estocolmo. Regresó a San Petersburgo en 1908 y al estallar la I Guerra Mundial, se ofreció como enfermera voluntaria en el Ejército Imperial Ruso.En 1915, fue a Siberia junto a Ethel von Heidenstam con la Cruz Roja Sueca, para tratar a los prisioneros de guerra alemanes y austriacos que la bautizaron como el Ángel de Siberia. A su vuelta, inició el proceso de crear de una organización de ayuda sueca, pero estalló la Revolución de Octubre en 1917 y le retiraron su permiso de trabajo. No se rindió y siguió viajando a Siberia hasta ser arrestada y condenada a muerte por espionaje. La sentencia fue revocada y tras su liberación, regresó a Suecia organizando la recaudación de fondos para los ex prisioneros de guerra y sus familias. Posteriormente emigró a Alemania y publicó un libro con sus vivencias.A partir de entonces, se ocupó de los antiguos prisioneros de guerra en un sanatorio de rehabilitación para los que regresaban a casa. Compró un molino y lo utilizó como centro de resocialización. En 1923 hizo una gira de 6 meses por EEUU para recaudar fondos para un nuevo hogar para los hijos de prisioneros de guerra alemanes y austríacos. En 1924 fundó un hogar de niños huérfanos y necesitados. En 1929 se casó con Heinrich Gottlob Robert Ulich, profesor de pedagogía. Vendió el molino y donó su casa.En 1932 nació su hija y se mudaron a EEUU donde su marido aceptó una cátedra en la Universidad de Harvard.En 1939, abrió un restaurante que ofrecía oportunidades de trabajo a los refugiados en Cambridge, Massachusetts.Tras la II Guerra Mundial, recaudó fondos para mujeres y niños necesitados en Alemania a través de las organizaciones CARE International y CRALOG, y realizó una gira final de conferencias en Europa en nombre del ""Save the Children Fund""Cartel hecho por @pilar_terron#ElsaBrändström#Enfermera#MujeresEnCiencia#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy";Enfermera;si;2022;-;-;Suecia;-
Florence Shirley Patterson Jones (26 de marzo de 1913 - 18 de diciembre de 2000);1913;26-mar;La astrónoma Florence Shirley Patterson Jones (1913–2000) nació un 26 de marzo.Obtuvo títulos universitarios en matemáticas y física en la Universidad de Toronto en 1935.En 1938 se mudó a Massachusetts y trabajó en el Observatorio de la Universidad de Harvard, tutorizada por Harlow Shapley y Cecilia Payne-Gaposchkin.Durante la Segunda Guerra Mundial, trabajó en una fábrica de vidrio óptico en Toronto, asegurando la calidad en la producción de miras para armas, periscopios y telémetros. Tras la guerra, se mudó a los Estados Unidos y se convirtió en profesora de astronomía en diferentes centros, dependiendo de los lugares a los que debían moverse por el trabajo de su marido, el físico Donald A. Jones.En la madre de la física de partículas Lorella Margaret Jones.;astrónoma;no;-;-;-;Canadá;-
Hedwig Kohn (5 de abril de 1887 - 26 de marzo de 1964) ​;1887;26-mar;Hedwig Kohn (5 de abril de 1887 - 26 de marzo de 1964) ​ fue una pionera en física alemana y una de las tres únicas mujeres (junto a Lise Meitner y Hertha Sponer) en obtener una habilitación (la calificación para la enseñanza universitaria en Alemania) en Física antes de la Segunda Guerra Mundial. Todas ellas fueron obligadas a salir de Alemania durante el nazismo. Kohn fue una de las pioneras en este ámbito y su trabajo se centró en determinar cuantitativamente la intensidad luminosa. De esta forma, contribuyó a la espectroscopia atómica y molecular. No cabe duda de que sus aportaciones asentaron algunas de las bases de la física.;física;no;-;-;-;Alemania;-
Isabel Ramírez Castañeda (1881-26 de marzo de 1943);1881;26-mar;Isabel Ramírez Castañeda (1881-26 de marzo de 1943) fue una arqueóloga, antropóloga y etnóloga mexicana originaria de Milpa Alta, considerada la primera arqueóloga de México. reconocida como la primera mujer estudiante de arqueología, etnología y trabajadora de campo. Obtuvo una beca de la Universidad de Columbia para colaborar con la Escuela Internacional de Arqueología y Etnología Americana. Fue víctima de descalificaciones y prejuicios machistas de sus contemporáneos y colegas científicos.;Arqueóloga;no;-;-;-;México;-
Jedidah Isler;-;26-mar;Un 26 de marzo de 2015 fue la conferencai TED2015 de la astrofísica La Dra. Jedidah Isler fue, en 2014, la primera mujer afroamericana en obtener un doctorado en astrofísica por la Universidad de Yale. Estudia blazares –agujeros negros supermasivos hiperactivos– en el centro de las galaxias, algunos de los cuales emiten potentes chorros de partículas en dirección a la Tierra.La astrofísica intenta además romper las barreras –pensando especialmente en mujeres afroamericanas– que frenan a muchas y muchos estudiantes a estudiar carreras científicas.En esta conferencia de TED2015 (en inglés, con subtítulos en castellano), Jedidah Isler explica la manera en la que investiga sobre blazares, comparando su trabajo con una historia de amor…;astrofísica;no;-;-;-;EEUU;-
Lillien Jane Martin (7 de julio de 1851-26 de marzo de 1943);1851;26-mar;"Un 7 de julio nació la psicóloga pionera LILLIEN JANE MARTIN (1851-1943).Nació en Olean, Nueva York (EEUU). La mayor de 4 hermanos, su padre les abandonó, y tuvo que trabajar desde pronto para ayudar a su madre, su gran referente. Se mudaron a Wisconsin y, con 16 años, ya era maestra en una escuela de niñas. Luego fue a otra escuela en Omaha, Nebraska y ahorró para ir a la Universidad. Con 26 años fue aceptada en Cornell, pero al ver que era la única mujer ingresó en el Vassar College (Nueva York). Se licenció en ciencias naturales (1880) y trabajó hasta 1889 de profesora de ciencias de secundaria en San Francisco, California, cuando entró en otra como subdirectora y jefa del dept. de ciencias. En 1894, dejó su puesto y se fue a Alemania y se licenció en psicología en la Universidad de Göttingen (1898). Investigó la psicofísica del levantamiento de pesas (publicó un libro), la estética, la percepción, el pensamiento sin imágenes y el humor. Volvía todos los veranos allí y publicó extensamente en alemán. En 1913 el Instituto de Psicología de Bonn le otorgó un doctorado honoris causa (el 1º a una psicóloga y a un estadounidense). En 1899 entró de profesora de psicología a la Universidad de Stanford, donde fue directora de departamento. En 1916 se jubiló y se estableció como psicóloga clínica y abrió la 1ª clínica de salud mental del mundo para niños sin discapacidades y ancianos. Se convirtió en una de las psicólogas más reconocidas. Investigó sobre el subconsciente.En 1929 fundó el Old Age Center, el primero para personas de la tercera edad, siendo una autoridad internacional en gerontología. En 1937 abrió una granja para personas mayores en Alameda Country. Allí estuvo hasta morir el 26 de marzo de 1943.Fue presidenta de la Sociedad de Higiene Mental de California, miembro del Kongress fur experimentelle Psychologie, de la Asociación Americana de Psicología, y de varias asociaciones de mujeres feministas.Publicó, entre otros, ""La vuelta al mundo con un psicólogo"", “Higiene mental” y “Entrenamiento mental del niño en edad preescolar”. #LillienJaneMartin#psicología#pionera#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoyCartel de @pilar_terron";Psicóloga;si;Nacimiento en 2023;Cartel el 7 de julio;-;EEUU;En inglés
